CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAATimer</cmp>, <id>0x00004016</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCAATypes</cmp>, <id>0x00004006</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpChannelClient</cmp>, <id>0x00000008</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpChannelClientIec</cmp>, <id>0x0000005d</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.972| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpChannelMgr</cmp>, <id>0x00000009</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpChannelServer</cmp>, <id>0x0000000a</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCharDevice</cmp>, <id>0x00000300</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpChecksum</cmp>, <id>0x0000000b</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCommunicationLib</cmp>, <id>0x0000000c</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCoreDump</cmp>, <id>0x00000083</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpCryptMD5</cmp>, <id>0x0000006a</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpDevice</cmp>, <id>0x0000000e</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpEventMgr</cmp>, <id>0x0000005b</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpFileTransfer</cmp>, <id>0x0000005e</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpGateway</cmp>, <id>0x0000000f</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpGwCommDrvTcp</cmp>, <id>0x00000010</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.973| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpIecStringUtils</cmp>, <id>0x0000007f</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpIecTask</cmp>, <id>0x00000011</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpIecVarAccess</cmp>, <id>0x00000060</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpIoDrvIec</cmp>, <id>0x0000005a</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpIoMgr</cmp>, <id>0x00000012</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpMonitor2</cmp>, <id>0x00000032</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpNameServiceClient</cmp>, <id>0x00000015</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpNameServiceClientIec</cmp>, <id>0x0000011d</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpNameServiceServer</cmp>, <id>0x00000016</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpOpenSSL</cmp>, <id>0x00000033</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpPlcShell</cmp>, <id>0x00000128</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpRetain</cmp>, <id>0x00000017</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpRouter</cmp>, <id>0x00000018</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.974| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpSchedule</cmp>, <id>0x00000019</id> <ver>48.81.0.20</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpSecureChannel</cmp>, <id>0x00000090</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpSecurityManager</cmp>, <id>0x0000008e</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpSessionInformation</cmp>, <id>0x00000097</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpSrv</cmp>, <id>0x0000001c</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpTraceMgr</cmp>, <id>0x00000070</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpUserDBFile</cmp>, <id>0x00000098</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpUserGroupsDBFile</cmp>, <id>0x00000099</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpUserObjectsDBFile</cmp>, <id>0x0000009c</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=<cmp>CmpUserMgr</cmp>, <id>0x00000061</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKBasePackage</cmp>, <id>0x100b001d</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.975| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKControlLib</cmp>, <id>0x100b0114</id> <ver>3.5.0.0</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKDataRecorder</cmp>, <id>0x100b0020</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKIo</cmp>, <id>0x100b001c</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKLog2RepSys</cmp>, <id>0x100b0016</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKState</cmp>, <id>0x100b0012</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKVarIF</cmp>, <id>0x100b0010</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>KSys</cmp>, <id>0x100b001a</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>cmpkmodbusv3</cmp>, <id>0x100b0021</id> <ver>4.3.2.3</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKLog</cmp>, <id>0x100b0112</id> <ver>3.4.11.0</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKTC</cmp>, <id>0x100b0110</id> <ver>3.5.2.2</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKRC</cmp>, <id>0x100b0111</id> <ver>3.4.2.1</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKMcu</cmp>, <id>0x100b0113</id> <ver>3.4.2.1</ver>
CSRTSV3  2021-05-03 09:43:23.976| Cmp=SysFile, Class=1, Error=0, Info=2, pszInfo=PlcLogicPrefix=-1: Be aware backup/restore feature cannot be used
CSRTSV3  2021-05-03 09:43:23.976| Cmp=CmpBlkDrvUdp, Class=1, Error=0, Info=6, pszInfo=Network interface: <ipaddress>172.16.11.24</ipaddress>, subnetmask <subnetmask>255.255.0.0</subnetmask>
CSRTSV3  2021-05-03 09:43:23.977| Cmp=CmpRouter, Class=1, Error=0, Info=4, pszInfo=Network interface <interface>ether 2</interface> at router <instance>0</instance> registered
CSRTSV3  2021-05-03 09:43:23.977| Cmp=CmpBlkDrvUdp, Class=1, Error=0, Info=6, pszInfo=Network interface: <ipaddress>192.168.100.100</ipaddress>, subnetmask <subnetmask>255.255.255.0</subnetmask>
